orden,municipio,departamento
930,Socotá,Boyacá
931,Sogamoso,Boyacá
932,Solano,Caquetá
933,Soledad,Atlántico
934,Solita,Caquetá
935,Somondoco,Boyacá
936,Sonsón,Antioquia
937,Sopetrán,Antioquia
938,Soplaviento,Bolívar
939,Sopó,Cundinamarca
940,Sora,Boyacá
941,Soracá,Boyacá
942,Sotaquirá,Boyacá
943,Sotara,Cauca
944,Suaita,Santander
945,Suan,Atlántico
946,Suárez,Cauca
947,Suárez,Tolima
948,Suaza,Huila
949,Subachoque,Cundinamarca
950,Sucre,Cauca
951,Sucre,Santander
952,Sucre,Sucre
953,Suesca,Cundinamarca
954,Supatá,Cundinamarca
955,Supía,Caldas
956,Suratá,Santander
957,Susa,Cundinamarca
958,Susacón,Boyacá
959,Sutamarchán,Boyacá
960,Sutatausa,Cundinamarca
961,Sutatenza,Boyacá
962,Tabio,Cundinamarca
963,Tadó,Chocó
964,Talaigua Nuevo,Bolívar
965,Tamalameque,Cesar
966,Támara,Casanare
967,Tame,Arauca
968,Támesis,Antioquia
969,Taminango,Nariño
970,Tangua,Nariño
971,Taraira,Vaupés
972,Tarazá,Antioquia
973,Tarqui,Huila
974,Tarso,Antioquia
975,Tasco,Boyacá
976,Tauramena,Casanare
977,Tausa,Cundinamarca
978,Tello,Huila
979,Tena,Cundinamarca
980,Tenerife,Magdalena
981,Tenjo,Cundinamarca
982,Tenza,Boyacá
983,Teorama,Norte De Santander
984,Teruel,Huila
